id,Quarter ending,State,Unit,Value
404,2020 Q2,Victoria,$ per megawatt hour,43
405,2020 Q3,New South Wales,$ per megawatt hour,49
406,2020 Q3,Queensland,$ per megawatt hour,34
407,2020 Q3,South Australia,$ per megawatt hour,46
408,2020 Q3,Tasmania,$ per megawatt hour,51
409,2020 Q3,Victoria,$ per megawatt hour,54
410,2020 Q4,New South Wales,$ per megawatt hour,71
411,2020 Q4,Queensland,$ per megawatt hour,48
412,2020 Q4,South Australia,$ per megawatt hour,35
413,2020 Q4,Tasmania,$ per megawatt hour,46
414,2020 Q4,Victoria,$ per megawatt hour,40
415,2021 Q1,New South Wales,$ per megawatt hour,39
416,2021 Q1,Queensland,$ per megawatt hour,45
417,2021 Q1,South Australia,$ per megawatt hour,53
418,2021 Q1,Tasmania,$ per megawatt hour,34
419,2021 Q1,Victoria,$ per megawatt hour,27
420,2021 Q2,New South Wales,$ per megawatt hour,129
421,2021 Q2,Queensland,$ per megawatt hour,141
422,2021 Q2,South Australia,$ per megawatt hour,77
423,2021 Q2,Tasmania,$ per megawatt hour,47
424,2021 Q2,Victoria,$ per megawatt hour,77
